id,label,avg_acc,learning_success,forgetting,stability_gap,peak_drop,first_drop,last_drop,recovery_time_median,recovery_rate,acc_auc_ratio_01_mean
0,Baseline,25.35,74.2,54.27777777777778,17.323777777777778,24.511111111111113,22.794444444444444,11.75,532.0,0.6444444444444445,0.33257249338383976
0.005,last_rho0.005,25.125,74.075,54.388888888888886,17.55177777777778,24.58888888888889,23.094444444444445,11.9,532.0,0.6222222222222222,0.3338704734968997
0.005,first_rho0.005,25.975,74.225,53.611111111111114,17.04511111111111,24.294444444444444,22.427777777777777,11.755555555555556,600.0,0.5777777777777777,0.3368298831625142
0.01,first_rho0.01,26.375,73.775,52.666666666666664,16.715777777777777,23.81111111111111,21.994444444444444,11.661111111111111,532.0,0.6888888888888889,0.33505887240909515
0.01,last_rho0.01,25.55,73.8,53.611111111111114,17.38711111111111,24.58888888888889,22.877777777777776,11.694444444444445,532.0,0.6888888888888889,0.33337798700557686
0.02,last_rho0.02,25.675,74.05,53.75,17.467333333333332,24.772222222222222,22.983333333333334,11.65,532.0,0.7111111111111111,0.33524900133396546
0.02,first_rho0.02,25.55,73.375,53.138888888888886,16.87622222222222,23.788888888888888,22.205555555555556,11.561111111111112,532.0,0.6444444444444445,0.33453760736143723
0.05,last_rho0.05,25.7,73.65,53.27777777777778,17.264666666666667,24.555555555555557,22.716666666666665,11.627777777777778,532.0,0.6444444444444445,0.3349545449653307
0.05,first_rho0.05,24.7,73.1,53.77777777777778,17.598222222222223,24.166666666666668,23.155555555555555,11.9,600.0,0.6222222222222222,0.326940008424786
0.1,first_rho0.1,22.8,71.8,54.44444444444444,18.088,24.377777777777776,23.8,12.127777777777778,600.0,0.6444444444444445,0.30964141991341176
0.1,last_rho0.1,26.125,73.55,52.69444444444444,17.138,24.488888888888887,22.55,11.566666666666666,600.0,0.6444444444444445,0.3365124716315934
0.2,last_rho0.2,25.425,73.525,53.44444444444444,17.04933333333333,24.566666666666666,22.433333333333334,11.755555555555556,532.0,0.6,0.33395738147817006
0.2,first_rho0.2,18.05,69.325,56.97222222222222,16.81288888888889,22.844444444444445,22.122222222222224,12.5,532.0,0.5333333333333333,0.2704679445904666
